district_name,longitude_top_left,longitude_bottom_right,latitude_top_left,latitude_bottom_right
沛县,116.6802978515625,117.1527099609375,34.98050244536519,34.452218472826544
闽侯县,118.8665771484375,119.4268798828125,26.613085653537336,25.789999562873607
胶州市,119.6246337890625,120.2178955078125,36.50522086338425,36.00911716117325
准格尔旗,110.10498046875,111.46728515625,40.329795743702064,39.26628442213065
新田县,112.03857421875,112.3956298828125,26.120918159599714,25.65638202576806
肥西县,116.6802978515625,117.432861328125,31.96614386212011,31.49894567796293
宣汉县,107.369384765625,108.5504150390625,31.821564514920734,31.104685293758493
神木市,109.654541015625,110.928955078125,39.461643642055485,38.20797181420939
金阳县,102.94189453125,103.51318359375,27.965294915211118,27.366889032381305
从江县,108.2318115234375,109.193115234375,26.041977447970137,25.30430376440361
社旗县,112.763671875,113.2086181640625,33.15594830078649,32.7872745269555
布拖县,102.7056884765625,103.07373046875,27.93132741229366,27.259512784361675
长沙县,112.972412109375,113.5107421875,28.66649117698661,28.02834905750576
西吉县,105.31494140625,106.083984375,36.24427318493909,35.5635120512197
高邮市,119.1741943359375,119.8333740234375,33.114549382824535,32.583849325656615
长兴县,119.5477294921875,120.1080322265625,31.184609135743244,30.718226523201352
福贡县,98.67919921875,99.0362548828125,27.522886832325792,26.45582023845988
共和县,98.9154052734375,101.2225341796875,37.182202221079784,35.75988604933659
长丰县,116.971435546875,117.4493408203125,32.54218257955074,31.924192605327708
南昌县,115.8013916015625,116.3287353515625,28.969700808694157,28.265682390146473
石楼县,110.36865234375,111.104736328125,37.274052809979054,36.85325222344017
晋江市,118.4051513671875,118.707275390625,24.91134942185059,24.502144901210876
太仓市,120.9649658203125,121.376953125,31.770207631866707,31.363018491291186
新郑市,113.5052490234375,114.0765380859375,34.660322364818896,34.27083595164999
竹山县,109.5556640625,110.4400634765625,32.62549671451372,31.503629305773018
东台市,120.0970458984375,120.9814453125,33.03169299978311,32.569962560449994
洞口县,110.137939453125,110.9619140625,27.376645353639578,26.853479438420027
靖宇县,126.5020751953125,127.276611328125,42.851806095847046,42.102298189481175
红河县,101.8157958984375,102.6177978515625,23.438049100368612,23.08478515994373
宁海县,121.1517333984375,121.8218994140625,29.53045010749105,29.08977693862319
广灵县,113.84033203125,114.4171142578125,39.93501296038253,39.58875727696545
西乡县,107.259521484375,108.2427978515625,33.23868752757413,32.528289364825255
临泉县,114.873046875,115.5267333984375,33.16054697509141,32.57459172113417
张家港市,120.3607177734375,120.8935546875,32.054644690549296,31.718822224083254
荔波县,107.6220703125,108.3087158203125,25.651430347039728,25.115445397061947
福清市,119.058837890625,119.68505859375,25.859223554761392,25.30430376440361
越西县,102.3321533203125,102.9034423828125,28.892778864518295,28.309216980457762
广河县,103.38134765625,103.8592529296875,35.63944106897394,35.28150065789119
思南县,107.8802490234375,108.4625244140625,28.15918963404672,27.522886832325792
旺苍县,105.9686279296875,106.7816162109375,32.694865977875054,31.97546376218866
上林县,108.3746337890625,108.87451171875,23.80544961231462,23.195911787809496
海宁市,120.30029296875,120.87158203125,30.600093873550065,30.259067203213018
尚义县,113.8128662109375,114.45556640625,41.54558903666811,40.73060847779664
临夏县,102.7166748046875,103.2989501953125,35.8133587263335,35.25010515853934
敖汉旗,119.4927978515625,120.8935546875,43.03677585761058,41.69342421615132
江孜县,89.1265869140625,90.230712890625,29.23847708592805,28.4735201051409
昭觉县,102.447509765625,103.3319091796875,28.352733760237804,27.751607687549367
石台县,117.2021484375,117.9437255859375,30.37287518811803,29.97872859346992
涿鹿县,114.9224853515625,115.5157470703125,40.49709237269567,39.66914219401813
昆山市,120.8001708984375,121.1627197265625,31.545771394936267,31.09998179374943
喜德县,102.183837890625,102.72216796875,28.521796040000677,27.91191261511189
平湖市,120.9429931640625,121.343994140625,30.864510226258353,30.472348632640827
疏附县,75.289306640625,76.00341796875,39.686053432259875,38.95513722542956
融安县,109.215087890625,109.786376953125,25.582085278700706,24.74683129841204
巫溪县,108.687744140625,109.984130859375,31.737511125687814,31.22689446881399
太湖县,115.751953125,116.5045166015625,30.765439128105534,30.12137308782304
美姑县,102.864990234375,103.33740234375,28.835049972635165,28.02350004888303
于田县,81.1175537109375,82.7984619140625,39.4913243003771,35.232159412017154
汪清县,129.0838623046875,130.9075927734375,44.05601169578526,43.1090040242731
丹凤县,110.1324462890625,110.819091796875,33.957030069982295,33.35806161277886
石渠县,97.3388671875,99.2724609375,34.21634468843463,32.31963355203522
从江县,108.2318115234375,109.193115234375,26.041977447970137,25.30430376440361
社旗县,112.763671875,113.2086181640625,33.15594830078649,32.7872745269555
西吉县,105.31494140625,106.083984375,36.24427318493909,35.5635120512197
福贡县,98.67919921875,99.0362548828125,27.522886832325792,26.45582023845988
石楼县,110.36865234375,111.104736328125,37.274052809979054,36.85325222344017
竹山县,109.5556640625,110.4400634765625,32.62549671451372,31.503629305773018
洞口县,110.137939453125,110.9619140625,27.376645353639578,26.853479438420027
广灵县,113.84033203125,114.4171142578125,39.93501296038253,39.58875727696545
越西县,102.3321533203125,102.9034423828125,28.892778864518295,28.309216980457762
思南县,107.8802490234375,108.4625244140625,28.15918963404672,27.522886832325792
旺苍县,105.9686279296875,106.7816162109375,32.694865977875054,31.97546376218866
上林县,108.3746337890625,108.87451171875,23.80544961231462,23.195911787809496
尚义县,113.8128662109375,114.45556640625,41.54558903666811,40.73060847779664
临夏县,102.7166748046875,103.2989501953125,35.8133587263335,35.25010515853934
敖汉旗,119.4927978515625,120.8935546875,43.03677585761058,41.69342421615132
石台县,117.2021484375,117.9437255859375,30.37287518811803,29.97872859346992
涿鹿县,114.9224853515625,115.5157470703125,40.49709237269567,39.66914219401813
太湖县,115.751953125,116.5045166015625,30.765439128105534,30.12137308782304
于田县,81.1175537109375,82.7984619140625,39.4913243003771,35.232159412017154
汪清县,129.0838623046875,130.9075927734375,44.05601169578526,43.1090040242731
